frame_index,row_type,track_id,team_label,field_x_cm,field_y_cm,map_x,map_y,source_x,source_y
82,player,-1,unassigned,6493.002,4978.8018,193.6397,159.8078,1052.5,358.0
82,player,-1,unassigned,9282.5996,3563.2678,270.8186,118.3528,631.0,719.0
82,player,-1,unassigned,8686.6211,3876.6528,254.3299,127.5305,919.5,488.0
82,player,-1,unassigned,8555.4717,3568.4177,250.7014,118.5037,721.5,311.0
82,player,-1,unassigned,8741.9971,3722.9338,255.8619,123.0288,805.5,418.0
82,player,-1,unassigned,630.749,6957.8716,31.4507,217.7662,983.0,273.0
82,player,-1,unassigned,9217.9736,3413.4509,269.0306,113.9653,537.5,436.0
82,player,-1,unassigned,11157.5176,2704.0979,322.6913,93.1914,1191.0,149.0
82,player,-1,unassigned,9171.0068,2912.5515,267.7312,99.2962,404.0,206.0
82,player,-1,unassigned,11077.1738,3814.7356,320.4685,125.7173,708.0,47.0
82,player,-1,unassigned,9643.3115,2933.2847,280.7983,99.9033,12.5,271.0
82,ball,-1,,9101.6016,3369.7507,265.811,112.6856,560.0,354.5
83,player,15,home,6499.2861,4963.0552,193.8136,159.3466,1048.0,356.0
83,player,16,away,9282.2266,3562.731,270.8083,118.3371,630.5,717.0
83,player,17,home,8687.459,3873.1389,254.353,127.4276,916.5,486.0
83,player,18,away,8522.168,3564.6589,249.78,118.3936,721.0,305.0
83,player,19,away,8746.7314,3712.292,255.9929,122.7171,798.5,414.0
83,player,20,home,-84.8879,7198.688,14.0,219.0,980.5,270.0
83,player,22,home,9213.9229,3409.2251,268.9185,113.8416,537.0,430.0
83,player,23,away,11133.4268,2719.9248,322.0248,93.6549,1189.0,146.0
83,player,24,away,9163.8525,2905.252,267.5333,99.0824,405.5,204.0
83,player,26,away,11036.7441,3799.6868,319.3499,125.2765,710.5,45.0
83,ball,-1,,9099.3154,3354.8296,265.7477,112.2486,554.0,346.0
84,player,15,home,6443.1675,4979.0347,192.261,159.8146,1045.0,353.0
84,player,16,away,9279.498,3562.5532,270.7328,118.3319,631.5,711.0
84,player,17,home,8691.3311,3868.7302,254.4602,127.2985,913.5,485.0
84,player,18,away,8518.1621,3563.0837,249.6692,118.3475,720.5,304.0
84,player,19,away,8748.3799,3701.7988,256.0385,122.4098,791.5,409.0
84,player,22,home,9210.541,3405.5273,268.825,113.7333,536.5,425.0
84,player,23,away,11117.9922,2730.2864,321.5978,93.9584,1187.5,144.0
84,player,24,away,9157.7109,2897.4719,267.3633,98.8545,406.5,202.0
84,player,26,away,11013.8799,3787.0054,318.7173,124.9052,713.0,44.0
85,player,15,home,6450.751,4968.2803,192.4708,159.4996,1042.5,352.0
85,player,16,away,9277.3945,3562.2068,270.6746,118.3218,632.0,706.0
85,player,17,home,8691.7578,3866.9587,254.472,127.2466,912.0,484.0
85,player,18,away,8511.958,3562.6025,249.4975,118.3334,720.5,303.0
85,player,19,away,8743.0723,3693.8984,255.8917,122.1785,786.0,403.0
85,player,22,home,9209.5166,3403.771,268.7966,113.6819,536.0,423.0
85,player,23,away,11120.6611,2730.5337,321.6716,93.9656,1186.0,144.0
85,player,24,away,9161.3594,2896.6755,267.4643,98.8312,405.0,202.0
85,player,26,away,10991.8994,3774.814,318.1092,124.5481,715.5,43.0
86,player,15,home,6503.3516,4936.4673,193.9261,158.568,1039.5,352.0
86,player,16,away,9275.6592,3562.4089,270.6266,118.3277,633.0,703.0
86,player,17,home,8697.4863,3862.5781,254.6305,127.1184,909.5,484.0
86,player,18,away,8511.958,3562.6025,249.4975,118.3334,720.5,303.0
86,player,19,away,8777.1465,3676.4844,256.8344,121.6685,776.0,406.0
86,player,22,home,9205.1416,3405.5906,268.6756,113.7352,539.0,422.0
86,player,23,away,11114.3232,2735.8008,321.4963,94.1199,1184.5,143.0
86,player,24,away,9172.1709,2903.3682,267.7634,99.0272,402.0,204.0
86,player,26,away,10998.6289,3763.4438,318.2954,124.2151,718.5,44.0
86,player,31,home,9645.4014,2927.4988,280.8561,99.7339,11.0,268.0
87,player,15,home,6571.2783,4895.3853,195.8054,157.3649,1035.5,352.0
87,player,16,away,9272.7881,3562.2231,270.5471,118.3222,634.0,697.0
87,player,17,home,8701.3428,3858.1865,254.7372,126.9897,906.5,483.0
87,player,18,away,8511.958,3562.6025,249.4975,118.3334,720.5,303.0
87,player,19,away,8813.4268,3655.4128,257.8381,121.0514,763.0,408.0
87,player,20,home,-468.4958,7283.9946,14.0,219.0,975.5,267.0
87,player,22,home,9202.1543,3407.6841,268.5929,113.7965,541.5,422.0
87,player,23,away,11125.1475,2730.9495,321.7957,93.9778,1183.5,144.0
87,player,24,away,9171.5869,2907.9756,267.7472,99.1621,403.0,205.0
87,player,26,away,10999.9062,3743.8772,318.3307,123.6421,723.5,45.0
87,player,31,home,9645.4014,2927.4988,280.8561,99.7339,11.0,268.0
88,player,15,home,6595.2676,4874.9238,196.4691,156.7656,1032.0,351.0
88,player,16,away,9270.9971,3562.4287,270.4976,118.3283,635.0,694.0
88,player,17,home,8704.0605,3854.6665,254.8123,126.8867,904.0,482.0
88,player,18,away,8507.8525,3560.9985,249.3839,118.2864,720.0,302.0
88,player,19,away,8833.7246,3641.5293,258.3997,120.6448,754.0,408.0
88,player,20,home,-380.3079,7245.9941,14.0,219.0,975.0,267.0
88,player,22,home,9200.1084,3407.8542,268.5363,113.8014,542.5,421.0
88,player,23,away,11126.9551,2731.1169,321.8458,93.9827,1182.5,144.0
88,player,24,away,9169.2305,2908.519,267.682,99.1781,404.0,205.0
